name,author,genre
The Hobbit,J.R.R. Tolkien,Fantasy
Dune,Frank Herbert,Science Fiction
1984,George Orwell,Dystopian
Pride and Prejudice,Jane Austen,Romance
The Name of the Wind,Patrick Rothfuss,Fantasy
Neuromancer,William Gibson,Science Fiction
The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
Sapiens,Yuval Noah Harari,Nonfiction
The Martian,Andy Weir,Science Fiction
Murder on the Orient Express,Agatha Christie,Mystery
Mistborn: The Final Empire,Brandon Sanderson,Fantasy
Brave New World,Aldous Huxley,Dystopian
The Great Gatsby,F. Scott Fitzgerald,Classic
Gone Girl,Gillian Flynn,Thriller
The Pragmatic Programmer,Andrew Hunt,Technology
Foundation,Isaac Asimov,Science Fiction
The Silent Patient,Alex Michaelides,Thriller
Educated,Tara Westover,Memoir
A Game of Thrones,George R.R. Martin,Fantasy
Clean Code,Robert C. Martin,Technology
